,"V skladu s Pravilnikom o prvih meritvah in obratovalnem monitoringu emisije snovi v zrak iz nepremičnih virov onesnaževanja ter o pogojih za njegovo izvajanje (Uradni list RS, št. 70/96, 71/00, 99/01 in 17/03), morajo vsi zavezanci za izvedbo emisijskega monitoringa snovi v zrak iz nepremičnih virov onesnaževanja pripraviti letno poročilo.

Na osnovi oddanih letnih poročil smo na Agenciji RS za okolje zbrali podatke o letnih količinah izpuščenih snovi v zrak iz industrijskih obratov, ki jih objavljamo na tej spletni strani.

Na tej spletni strani so osnovni podatki o zavezancu, obratu s katerim upravlja zavezanec in o letnih količinah izpuščenih snovi v zrak iz posameznega obrata. Podatki so v obliki excelove tabele, tako da jih lahko poljubno razvrščate.  
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,Podatki o zavezancu,,,,,Podatki,o obratu,,Podatki o emisijah v zrak,
1,Leto poročanja,Naziv zavezanca,Naslov zavezanca,Poštna številka,Ime pošte,Naselje obrata,Ulica obrata,Hišna št.obrata,Občina obrata,Onesnažilo,Letna količina [Kg]
2,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"anorganske spojine klora, če niso navedene v I. nevarnostni skupini, izražene kot HCl",261
3,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"baker in njegove spojine, izražene kot Cu",0.6
4,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,cink in njegove spojine (Zn),22.2
5,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"dušikovi oksidi (NO in NO2), izraženi kot NO2",2724
6,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"fluor in njegove spojine, izražene kot HF",160
7,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"kadmij in njegove spojine, izražene kot Cd",0.05
8,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"krom in njegove spojine, izražene kot Cr",16.8
9,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"mangan in njegove spojine, izražene kot Mn",46
10,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"nikelj in njegove spojine, izražene kot Ni",5.2
