,"V skladu s Pravilnikom o prvih meritvah in obratovalnem monitoringu emisije snovi v zrak iz nepremičnih virov onesnaževanja ter o pogojih za njegovo izvajanje (Uradni list RS, št. 70/96, 71/00, 99/01 in 17/03), morajo vsi zavezanci za izvedbo emisijskega monitoringa snovi v zrak iz nepremičnih virov onesnaževanja pripraviti letno poročilo.

Na osnovi oddanih letnih poročil smo na Agenciji RS za okolje zbrali podatke o letnih količinah izpuščenih snovi v zrak iz industrijskih obratov, ki jih objavljamo na tej spletni strani.

Na tej spletni strani so osnovni podatki o zavezancu, obratu s katerim upravlja zavezanec in o letnih količinah izpuščenih snovi v zrak iz posameznega obrata. Podatki so v obliki excelove tabele, tako da jih lahko poljubno razvrščate.  
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Podatki o zavezancu,,,,,Podatki o obratu,,,,,Podatki o emisijah v zrak,
1,Leto poročanja,Naziv zavezanca,Naslov zavezanca,Poštna številka,Ime pošte,Naselje obrata,Ulica obrata,Hišna št.obrata,Dodatek k hiš. št.,Občina obrata,Onesnažilo,Letna količina [Kg]
2,2006,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,"krom in njegove spojine, izražene kot Cr",3.42
3,2006,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,ogljikov monoksid (CO),64013
4,2006,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,"organske spojine, izražene kot skupni organski ogljik (TOC)",407
5,2006,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,skupni prah,2985
6,2006,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,"svinec in njegove spojine, izražene kot Pb",19.9
7,2006,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",674.58
8,2006,AC AVTOCENTER D.O.O.,LJUBLJANSKA CESTA 100,2310,SLOVENSKA BISTRICA,SLOVENSKA BISTRICA,LJUBLJANSKA CESTA,100,,SLOVENSKA BISTRICA,skupni prah,1.9
9,2006,"ACER FURNIRNICA, SPAJALNICA FURNIRJA IN TRGOVINA D.O.O.",CESTA LEONA DOBROTINŠKA 9,3230,ŠENTJUR,ŠENTJUR,CESTA LEONA DOBROTINŠKA,9,,ŠENTJUR,skupni prah,77
