,"V skladu s Pravilnikom o prvih meritvah in obratovalnem monitoringu emisije snovi v zrak iz nepremičnih virov onesnaževanja ter o pogojih za njegovo izvajanje (Uradni list RS, št. 105/08), morajo vsi zavezanci za izvedbo emisijskega monitoringa snovi v zrak iz nepremičnih virov onesnaževanja poslati ministrstvu oceno o letnih emisijah snovi v zrak.

Na osnovi prejetih ocen o letnih emisijah snovi za leto 2018 v zrak smo na Agenciji RS za okolje zbrali podatke o letnih količinah izpuščenih snovi v zrak iz izpustov naprav in oceno razpršene emisije, ki jih objavljamo na tej spletni strani.

Na tej spletni strani so osnovni podatki o zavezancu in o letnih količinah izpuščenih snovi v zrak iz izpustov naprav ter ocene razpršene emisije snovi. Podatki so v obliki excelove tabele, tako da jih lahko poljubno razvrščate.  
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Podatki o zavezancu,,,,,,Podatki o emisijah v zrak,,
1,"Leto 
poročanja",,Lokacija zavezanca,"Poštna 
številka",Ime pošte,Občina,Onesnažilo,"Emisija snovi 
iz izpustov [Kg]","Ocena razpršene 
emisije [Kg]"
2,2018,"""MIZARSTVO MEDVED"" - MEDVED ERIH, S.P.","Trebež 21A, Artiče",8253,ARTIČE,Brežice,celotni prah,3.22000002861023,1
3,2018,"1A - AVTOLIČARSTVO, AVTOSERVIS MARIJA PLUT S.P.","STANEŽIČE 10 F, LJUBLJANA - ŠENTVID",1210,LJUBLJANA - ŠENTVID,Ljubljana,celotni prah,44.0699996948242,0
4,2018,1A DIZAJN d.o.o.,IDRIJSKA CESTA 42,1360,VRHNIKA,Vrhnika,celotni prah,17.6639995574951,0
5,2018,A.S. Avtoličarstvo Plut,"STANEŽIČE 10, LJUBLJANA",1000,LJUBLJANA,Ljubljana,celotni prah,37.7400016784668,0
6,2018,A2S d.o.o.,"Mariborska 140, Celje",3000,CELJE,Celje,celotni prah,11.875,1
7,2018,A2S d.o.o.,"Mariborska 140, Celje",3000,CELJE,Celje,"organske spojine, izražene kot skupni organski ogljik (TOC)",198.75,20
8,2018,AB TOKOS d.o.o.,Cankarjeva cesta 9,4290,TRŽIČ,Tržič,"dušikovi oksidi (NO in NO2), izraženi kot NO2",0,1
9,2018,AB TOKOS d.o.o.,Cankarjeva cesta 9,4290,TRŽIČ,Tržič,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",0,1
10,2018,AB TOKOS d.o.o.,Cankarjeva cesta 9,4290,TRŽIČ,Tržič,ogljikov monoksid (CO),3.6800000667572,2
11,2018,AB TOKOS d.o.o.,Cankarjeva cesta 9,4290,TRŽIČ,Tržič,"organske spojine, izražene kot skupni organski ogljik (TOC)",29.4399995803833,2
12,2018,AB TOKOS d.o.o.,Cankarjeva cesta 9,4290,TRŽIČ,Tržič,celotni prah,92.1840018033981,15
13,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,poliklorirani dibenzodioksini (PCDD) in poliklorirani dibenzofurani (PCDF),6.98829990142258e-06,0
14,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"nikelj in njegove spojine, izražene kot Ni",1.87314605712891,0
15,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"baker in njegove spojine, izražene kot Cu",3.26634001731873,0
16,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"svinec in njegove spojine, izražene kot Pb",7.13261985778809,0
17,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"krom in njegove spojine, izražene kot Cr",7.46591997146606,0
18,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,VSOTA prašnate anorg. snovi II.,8.99909973144531,0
19,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"mangan in njegove spojine, izražene kot Mn",45.1954803466797,0
20,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,VSOTA prašnate anorg. snovi III.,55.9277381896973,0
21,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,VSOTA prašnate anorg. snovi II. in III.,64.9268417358398,0
22,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"dušikovi oksidi (NO in NO2), izraženi kot NO2",39.1319999694824,2
23,2018,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,celotni prah,1349.66160583496,81
24,2018,A-Cosmos d. d.,"Celovška cesta 182, Ljubljana",1000,LJUBLJANA,Ljubljana,celotni prah,63.7362992763519,0
25,2018,"ADIENT SLOVENJ GRADEC, d.o.o.","Pod gradom 1, Slovenj Gradec",2380,SLOVENJ GRADEC,Slovenj Gradec,celotni prah,126.957996368408,327
26,2018,"ADIENT SLOVENJ GRADEC, d.o.o.","Pod gradom 1, Slovenj Gradec",2380,SLOVENJ GRADEC,Slovenj Gradec,"organske spojine, izražene kot skupni organski ogljik (TOC)",13839.2100000381,3274
27,2018,ADK D.O.O.,"Dolane 33/a, CIRKULANE",2282,CIRKULANE,Cirkulane,celotni prah,281.933998346329,255
28,2018,ADK D.O.O.,"MIKLAVŠKA CESTA 59, HOČE-SLIVNICA",2311,HOČE,Hoče-Slivnica,celotni prah,428.455997467041,269
29,2018,ADK D.O.O.,"Dolane 33/a, CIRKULANE",2282,CIRKULANE,Cirkulane,"organske spojine, izražene kot skupni organski ogljik (TOC)",21746.9203491211,550
30,2018,ADK D.O.O.,"MIKLAVŠKA CESTA 59, HOČE-SLIVNICA",2311,HOČE,Hoče-Slivnica,"organske spojine, izražene kot skupni organski ogljik (TOC)",,1520
31,2018,ADRIA MOBIL,STRAŠKA CESTA 50,8000,NOVO MESTO,Novo mesto,celotni prah,275.183990478516,0
32,2018,ADRIA MOBIL,STRAŠKA CESTA 50,8000,NOVO MESTO,Novo mesto,"organske spojine, izražene kot skupni organski ogljik (TOC)",2205.00003051758,9069
33,2018,"ADRIA PLUS, d.o.o. Novo mesto","Straška cesta 50, NOVO MESTO",8000,NOVO MESTO,Novo mesto,ogljikov monoksid (CO),33.0230007171631,0
34,2018,"ADRIA PLUS, d.o.o. Novo mesto","Straška cesta 50, NOVO MESTO",8000,NOVO MESTO,Novo mesto,"dušikovi oksidi (NO in NO2), izraženi kot NO2",96.4420013427734,0
35,2018,"ADRIA PLUS, d.o.o. Novo mesto","Podbevškova ulica13, Novo Mesto",8000,NOVO MESTO,Novo mesto,celotni prah,8.92500019073486,1
36,2018,"ADRIA PLUS, d.o.o. Novo mesto","Straška cesta 50, NOVO MESTO",8000,NOVO MESTO,Novo mesto,celotni prah,13.7346000671387,2
37,2018,"ADRIA PLUS, d.o.o. Novo mesto","Podbevškova ulica13, Novo Mesto",8000,NOVO MESTO,Novo mesto,"organske spojine, izražene kot skupni organski ogljik (TOC)",160.5,16
38,2018,"ADRIA PLUS, d.o.o. Novo mesto","Straška cesta 50, NOVO MESTO",8000,NOVO MESTO,Novo mesto,"organske spojine, izražene kot skupni organski ogljik (TOC)",1587.05099487305,159
39,2018,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,celotni prah,155.009997367859,3
40,2018,"AERO IDA, d.o.o.",Šempeter,3311,ŠEMPETER V SAVINJSKI DOLINI,Žalec,"organske spojine, izražene kot skupni organski ogljik (TOC)",180.49889966473,0
41,2018,AGM PUNGENČAR,KAMNOLOM TRŽIŠČE,8295,TRŽIŠČE,Sevnica,celotni prah,4.86499977111816,0
42,2018,AGM PUNGENČAR,KAMNOLOM TRŽIŠČE,8295,TRŽIŠČE,Sevnica,"dušikovi oksidi (NO in NO2), izraženi kot NO2",219.975006103516,0
43,2018,"AGROMEHANIKA, proizvodnja in trgovina, Kranj, d.d.","Hrastje 52a, Kranj",4000,KRANJ,Kranj,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",0.0375999994575977,0
44,2018,"AGROMEHANIKA, proizvodnja in trgovina, Kranj, d.d.","Hrastje 52a, Kranj",4000,KRANJ,Kranj,ogljikov monoksid (CO),2.31999996304512,0
45,2018,"AGROMEHANIKA, proizvodnja in trgovina, Kranj, d.d.","Hrastje 52a, Kranj",4000,KRANJ,Kranj,"dušikovi oksidi (NO in NO2), izraženi kot NO2",89.1200017929077,0
46,2018,"AGROMEHANIKA, proizvodnja in trgovina, Kranj, d.d.","Hrastje 52a, Kranj",4000,KRANJ,Kranj,celotni prah,47.4319994412363,44
47,2018,"AKA PCB d.o.o., Lesce",Rožna dolina 54,4248,LESCE,Radovljica,"kositer in njegove spojine, izražene kot Sn",0.0501759983599186,0
48,2018,"AKA PCB d.o.o., Lesce",Rožna dolina 54,4248,LESCE,Radovljica,celotni prah,8.82399986684322,0
49,2018,"AKA PCB d.o.o., Lesce",Rožna dolina 54,4248,LESCE,Radovljica,"organske spojine, izražene kot skupni organski ogljik (TOC)",426.4518019557,0
50,2018,Akers valji Ravne d.o.o.,"koroška cesta 14, ravne na koroškem",2390,RAVNE NA KOROŠKEM,Ravne na Koroškem,"organske spojine, izražene kot skupni organski ogljik (TOC)",104.5,0
